date,session_key,driver_number,meeting_key,position
2026-07-24T15:07:27.902000+00:00,11336,1,1291,4
2026-07-24T15:07:27.902000+00:00,11336,3,1291,3
2026-07-24T15:07:27.902000+00:00,11336,5,1291,8
2026-07-24T15:07:27.902000+00:00,11336,6,1291,21
2026-07-24T15:07:27.902000+00:00,11336,10,1291,13
2026-07-24T15:07:27.902000+00:00,11336,11,1291,14
2026-07-24T15:07:27.902000+00:00,11336,12,1291,11
2026-07-24T15:07:27.902000+00:00,11336,14,1291,19
2026-07-24T15:07:27.902000+00:00,11336,23,1291,17
2026-07-24T15:07:27.902000+00:00,11336,27,1291,6
2026-07-24T15:07:27.902000+00:00,11336,30,1291,10
2026-07-24T15:07:27.902000+00:00,11336,31,1291,9
2026-07-24T15:07:27.902000+00:00,11336,41,1291,7
2026-07-24T15:07:27.902000+00:00,11336,43,1291,16
2026-07-24T15:07:27.902000+00:00,11336,55,1291,15
2026-07-24T15:07:27.902000+00:00,11336,63,1291,5
2026-07-24T15:07:27.902000+00:00,11336,77,1291,18
2026-07-24T15:07:27.902000+00:00,11336,81,1291,20
2026-07-24T15:07:27.902000+00:00,11336,87,1291,12
2026-07-24T15:07:28.559000+00:00,11336,14,1291,20
2026-07-24T15:07:28.559000+00:00,11336,81,1291,19
2026-07-24T15:07:48.730000+00:00,11336,1,1291,5
2026-07-24T15:07:48.730000+00:00,11336,5,1291,9
2026-07-24T15:07:48.730000+00:00,11336,6,1291,4
2026-07-24T15:07:48.730000+00:00,11336,10,1291,14
2026-07-24T15:07:48.730000+00:00,11336,11,1291,15
2026-07-24T15:07:48.730000+00:00,11336,12,1291,12
2026-07-24T15:07:48.730000+00:00,11336,14,1291,21
2026-07-24T15:07:48.730000+00:00,11336,23,1291,18
2026-07-24T15:07:48.730000+00:00,11336,27,1291,7
2026-07-24T15:07:48.730000+00:00,11336,30,1291,11
2026-07-24T15:07:48.730000+00:00,11336,31,1291,10
2026-07-24T15:07:48.730000+00:00,11336,41,1291,8
2026-07-24T15:07:48.730000+00:00,11336,43,1291,17
2026-07-24T15:07:48.730000+00:00,11336,55,1291,16
2026-07-24T15:07:48.730000+00:00,11336,63,1291,6
2026-07-24T15:07:48.730000+00:00,11336,77,1291,19
2026-07-24T15:07:48.730000+00:00,11336,81,1291,20
2026-07-24T15:07:48.730000+00:00,11336,87,1291,13
2026-07-24T15:08:23.775000+00:00,11336,10,1291,15
2026-07-24T15:08:23.775000+00:00,11336,11,1291,16
2026-07-24T15:08:23.775000+00:00,11336,14,1291,14
2026-07-24T15:08:23.775000+00:00,11336,23,1291,19
2026-07-24T15:08:23.775000+00:00,11336,43,1291,18
2026-07-24T15:08:23.775000+00:00,11336,55,1291,17
2026-07-24T15:08:23.775000+00:00,11336,77,1291,20
2026-07-24T15:08:23.775000+00:00,11336,81,1291,21
2026-07-24T15:08:26.644000+00:00,11336,5,1291,10
