date,session_key,interval,gap_to_leader,driver_number,meeting_key,source_closure_retrieved_utc
2026-03-14T03:04:19.916000+00:00,11240,0.251,5.061,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:20.182000+00:00,11240,0.341,1.948,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:20.417000+00:00,11240,0.117,2.065,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:20.743000+00:00,11240,0.33,2.395,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:20.917000+00:00,11240,0.107,2.502,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:21.407000+00:00,11240,0.447,2.949,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:21.695000+00:00,11240,0.202,3.151,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:21.801000+00:00,11240,0.381,3.532,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:21.867000+00:00,11240,2.162,7.223,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.091000+00:00,11240,0.061,3.593,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.103000+00:00,11240,0.392,0.392,44,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.218000+00:00,11240,0.24,3.833,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.457000+00:00,11240,0.263,4.096,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.569000+00:00,11240,0.457,0.849,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.704000+00:00,11240,0.154,4.25,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:22.908000+00:00,11240,0.071,4.321,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.017000+00:00,11240,0.43,1.279,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.107000+00:00,11240,0.353,4.674,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.162000+00:00,11240,0.088,4.762,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.321000+00:00,11240,0.134,4.896,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.395000+00:00,11240,0.358,1.637,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.677000+00:00,11240,0.314,1.951,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.708000+00:00,11240,0.572,5.468,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:23.833000+00:00,11240,0.15,2.101,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:24.209000+00:00,11240,0.374,2.475,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:24.255000+00:00,11240,0.002,2.477,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:24.634000+00:00,11240,0.412,2.889,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:24.992000+00:00,11240,0.354,3.243,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:25.352000+00:00,11240,0.31,3.553,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:25.457000+00:00,11240,0.135,3.688,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:25.560000+00:00,11240,0.112,3.8,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:25.669000+00:00,11240,1.985,7.453,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:25.919000+00:00,11240,0.337,4.137,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:26.073000+00:00,11240,0.145,4.282,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:26.154000+00:00,11240,0.112,4.394,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:26.473000+00:00,11240,0.291,4.685,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:26.591000+00:00,11240,0.126,4.811,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:26.693000+00:00,11240,0.111,4.922,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:27.237000+00:00,11240,0.585,5.507,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:29.172000+00:00,11240,1.959,7.466,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:29.743000+00:00,11240,0.26,0.26,44,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:30.807000+00:00,11240,1.062,1.322,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:30.892000+00:00,11240,0.048,1.37,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:31.353000+00:00,11240,0.507,1.877,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:31.601000+00:00,11240,0.241,2.118,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:31.686000+00:00,11240,0.083,2.201,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:32.639000+00:00,11240,0.929,3.13,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:32.665000+00:00,11240,0.058,3.188,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:33.059000+00:00,11240,0.43,3.618,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:33.219000+00:00,11240,0.315,0.315,44,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:33.254000+00:00,11240,0.206,3.824,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:33.656000+00:00,11240,0.378,4.202,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:33.669000+00:00,11240,0.062,4.264,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.202000+00:00,11240,0.454,4.718,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.259000+00:00,11240,1.029,1.344,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.367000+00:00,11240,0.081,1.425,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.495000+00:00,11240,0.268,4.986,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.516000+00:00,11240,0.023,5.009,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.569000+00:00,11240,0.077,5.086,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.755000+00:00,11240,0.17,5.256,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.817000+00:00,11240,0.437,1.862,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:34.949000+00:00,11240,0.214,5.47,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:35.052000+00:00,11240,0.217,2.079,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:35.082000+00:00,11240,0.113,5.583,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:35.151000+00:00,11240,0.074,2.153,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:35.537000+00:00,11240,0.695,6.278,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:36.099000+00:00,11240,1.036,3.189,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:36.240000+00:00,11240,0.146,3.335,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:36.615000+00:00,11240,0.379,3.714,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:36.833000+00:00,11240,0.201,3.915,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:36.880000+00:00,11240,1.27,7.548,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:37.224000+00:00,11240,0.374,4.289,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:37.381000+00:00,11240,0.209,0.209,44,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:37.490000+00:00,11240,0.052,4.341,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:37.740000+00:00,11240,0.458,4.799,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:37.990000+00:00,11240,0.206,5.005,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.177000+00:00,11240,0.105,5.11,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.349000+00:00,11240,0.184,5.294,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.490000+00:00,11240,1.131,1.34,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.505000+00:00,11240,0.124,5.418,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.740000+00:00,11240,0.094,5.512,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.896000+00:00,11240,0.328,1.668,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.943000+00:00,11240,0.182,5.694,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:38.974000+00:00,11240,0.177,1.845,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:39.287000+00:00,11240,0.683,6.377,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:39.443000+00:00,11240,0.403,2.248,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:39.552000+00:00,11240,0.107,2.355,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:40.302000+00:00,11240,0.786,3.141,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:40.443000+00:00,11240,1.172,7.549,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:40.677000+00:00,11240,0.36,3.501,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:41.146000+00:00,11240,0.44,3.941,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:41.365000+00:00,11240,0.272,4.213,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:41.740000+00:00,11240,0.348,4.561,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:41.803000+00:00,11240,0.045,4.606,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:42.193000+00:00,11240,0.415,5.021,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:42.505000+00:00,11240,0.22,5.241,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:42.708000+00:00,11240,0.119,5.36,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:42.818000+00:00,11240,0.0,0.0,44,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:42.927000+00:00,11240,0.065,0.065,63,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:43.005000+00:00,11240,0.259,5.41,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:43.333000+00:00,11240,0.241,5.651,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:43.662000+00:00,11240,0.186,5.837,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:43.693000+00:00,11240,0.071,5.908,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:43.974000+00:00,11240,0.621,6.529,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:44.177000+00:00,11240,1.265,1.33,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:44.974000+00:00,11240,1.041,7.57,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:44.974000+00:00,11240,0.765,2.095,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:45.287000+00:00,11240,0.278,2.373,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:45.724000+00:00,11240,0.318,2.691,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:46.005000+00:00,11240,0.312,3.003,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:46.599000+00:00,11240,0.37,3.373,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:47.130000+00:00,11240,0.524,3.897,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:48.052000+00:00,11240,0.566,4.463,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:48.177000+00:00,11240,0.259,0.259,63,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:48.583000+00:00,11240,0.385,4.848,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:48.880000+00:00,11240,0.674,0.933,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:49.099000+00:00,11240,0.27,5.118,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:49.302000+00:00,11240,0.1,5.218,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:49.788000+00:00,11240,0.946,1.879,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:49.990000+00:00,11240,0.406,5.624,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:50.240000+00:00,11240,0.452,2.331,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:50.506000+00:00,11240,0.304,5.928,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:50.615000+00:00,11240,0.067,5.995,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:50.677000+00:00,11240,0.379,2.71,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:51.022000+00:00,11240,0.304,3.014,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:51.302000+00:00,11240,0.369,6.364,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:51.365000+00:00,11240,0.353,3.367,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:51.693000+00:00,11240,0.364,3.731,6,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:51.880000+00:00,11240,0.321,6.685,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.240000+00:00,11240,0.252,0.252,63,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.271000+00:00,11240,0.304,6.989,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.287000+00:00,11240,0.638,4.369,30,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.443000+00:00,11240,0.106,7.095,11,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.663000+00:00,11240,0.366,4.735,31,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:52.912000+00:00,11240,0.657,0.909,16,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.084000+00:00,11240,0.439,5.174,43,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.162000+00:00,11240,0.484,7.579,77,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.443000+00:00,11240,0.292,5.466,41,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.724000+00:00,11240,0.226,5.692,5,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.771000+00:00,11240,0.882,1.791,1,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:53.927000+00:00,11240,0.741,8.32,23,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:54.177000+00:00,11240,0.534,6.226,55,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:54.333000+00:00,11240,0.535,2.326,81,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:54.537000+00:00,11240,0.114,6.34,18,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:54.630000+00:00,11240,0.31,2.636,10,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:54.755000+00:00,11240,0.348,6.688,14,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:55.115000+00:00,11240,0.397,3.033,87,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:55.130000+00:00,11240,0.3,6.988,27,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:55.271000+00:00,11240,0.269,3.302,12,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:55.318000+00:00,11240,0.269,7.257,3,1280,2026-07-26T17:21:08.307462Z
2026-03-14T03:04:55.677000+00:00,11240,0.368,3.67,6,1280,2026-07-26T17:21:08.307462Z
